time,vol_sed,delta_v,m
5,0.000573075171119,-0.000223948435811,0.002182380068778
10,0.000916920273791,-0.000244567511441,0.002434704028463
15,0.001375380410687,-0.000356553863385,0.002570644499242
20,0.001260765376463,-0.000202485332491,0.002415864921135
30,0.000974227790903,1.72E-05,0.001404592492129
40,0.000744997722455,-4.42E-05,0.001041492524958
50,0.001318072893575,-0.000159691491667,0.000998185673157
60,0.001318072893575,-0.000145387558189,0.000902524305708
75,0.001107945330831,1.74E-05,0.000511792369831
90,0.000840510250975,-0.000109217425238,0.000595653292374
105,0.001031535308015,2.98E-05,0.000629413870588
120,0.001031535308015,-0.000152846702629,0.000557382441416
150,0.001165252847943,-8.41E-06,0.000303021089708
180,0.000993330296607,9.24E-06,0.000261267960363
210,0.000783202733863,1.96E-05,0.000312466964781
240,0.001069740319423,-8.80E-05,0.000326554986337
300,0.001012432802311,2.24E-05,0.000150281930012
360,0.000955125285199,-5.49E-06,0.000122079984539
420,0.001088842825127,-2.57E-05,0.000131099139425
480,0.000821407745271,1.17E-05,0.000197987897029
600,0.001002881549459,-1.31E-05,0.0001115777273
720,0.000821407745271,1.38E-05,0.000141641013935
840,0.000826183371697,-6.62E-06,0.000117350686949
960,0.000845285877401,-4.52E-06,0.000105856635568
