DEM_err,zeta_err
6.98E-05,1.32E-05
0,5.07E-06
4.71E-06,6.39E-06
0.001221186,0.000246419
0.001441939,0.000308512
0.00303679,0.000604838
0.004307652,0.000804852
0.007610718,0.000935241
0.006463428,0.000452228
0.004800986,0.000296975
0.007163356,0.000560056
0.007339387,0.000695275
0.012084729,0.001360121
0.029133742,0.003628117
0.033831468,0.00257903
0.024050983,0.002032453
0.021590068,0.002206021
0.043930263,0.004480385
0.054748423,0.005545131
0.043703579,0.003538492
0.036886127,0.001664451
0.05713937,0.002921056
0.030625588,0.002951664
0.036902656,0.004617764
0.057185329,0.006520759
0.074173634,0.009527739
0.055669296,0.003156967
0.05038955,0.001576244
0.102820447,0.003867919
0.106539845,0.002172723
0.110910721,0.001708209
0.071416661,0.001042698
