time,vol_sed
15,0.000675447620511
30,0.000653305642241
45,0.000426610746671
60,0.000338457374035
75,0.000360811562386
90,0.000290001224091
105,0.000165985418988
120,7.81E-05
135,8.92E-05
150,9.69E-05
165,0.000119154489758
180,8.2E-05
195,7.03E-05
210,3.82E-05
225,2.38E-05
240,4.55E-05
255,3.69E-05
270,3.16E-05
285,3.06E-05
300,1.95E-05
315,1.09E-05
330,1.9E-05
345,5.79E-05
360,3.27E-05
375,4.13E-05
390,2.18E-05
405,6.49E-06
420,1.04E-05
435,4.28E-06
450,3.79E-06
465,2.2E-06
480,4.28E-06
