"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",7.75829192884329e-07,3.68242575509974e-07,2.43173571015568e-07,4.43796044213262e-07,4.27011760414959e-07,3.20368518154827e-07,1.03728380921447e-07,6.44204039972394e-08,6.83991876370218e-08,7.83035165216835e-08,3.77285830108555e-08,4.04156966149812e-08,4.86656118390657e-08,3.33269554801513e-08,3.1375937957979e-08,4.49098846424144e-08,3.76389973418407e-08,3.08373629094023e-08,3.52039078260424e-08,3.37537785523012e-08,2.8694112249767e-08,4.73297878972485e-08,9.58648614374052e-08,1.03701164782817e-07,1.3076542605206e-07,4.59308527885966e-08,3.22021097073808e-08,3.16598086554501e-08,2.04661829080644e-08,2.0677978911149e-08,2.43152343823288e-08,2.85138470461308e-08
"3",7.76788072670509e-07,3.68065567080998e-07,2.4385139854025e-07,4.42170779214283e-07,4.27066828949423e-07,3.20302403966946e-07,1.03135589410542e-07,6.47719607411825e-08,6.78662512246316e-08,7.79372211035323e-08,3.72865075710347e-08,4.0024231887623e-08,4.67553715849264e-08,3.19735372590892e-08,2.96642655594834e-08,4.40786676988916e-08,3.66987910065082e-08,2.94512299163071e-08,3.3847174529547e-08,3.3470299547064e-08,2.80497820123693e-08,4.59808936672258e-08,9.55445672018661e-08,1.02962182492318e-07,1.30209508704172e-07,4.51932761750509e-08,3.10576512838113e-08,3.07336659947794e-08,1.97384966137038e-08,2.04033510086196e-08,2.36346351351151e-08,2.76360838320747e-08
"4",7.77550954412449e-07,3.67694737926023e-07,2.44329758993752e-07,4.40088499355782e-07,4.26929655630271e-07,3.20401493847694e-07,1.0325262640875e-07,6.51769853919928e-08,6.73871844635722e-08,7.75593387962608e-08,3.67698804587842e-08,3.9722112353877e-08,4.53420748160936e-08,3.0863264352564e-08,2.83294114096715e-08,4.34124304378056e-08,3.59660743011172e-08,2.82853842299566e-08,3.27493583633602e-08,3.3276051321979e-08,2.75377502176411e-08,4.47714531268829e-08,9.52307991616444e-08,1.01705467251376e-07,1.29695597531463e-07,4.47136644347982e-08,3.04255387137598e-08,3.02187955651651e-08,1.91567181195308e-08,2.02581234746623e-08,2.30355850547248e-08,2.69134277235952e-08
"5",7.78163322414817e-07,3.67355658168911e-07,2.4474082723905e-07,4.3895296527236e-07,4.2667398827384e-07,3.19867153606411e-07,1.03307369595945e-07,6.56110727617136e-08,6.69368642272365e-08,7.72142054056375e-08,3.62042964077732e-08,3.94692420778037e-08,4.42438857463682e-08,2.99734050660331e-08,2.72741958884702e-08,4.28769333351083e-08,3.53754429312513e-08,2.72994726761473e-08,3.18313411351618e-08,3.31073069479591e-08,2.70960424873033e-08,4.38846719915454e-08,9.48993136256304e-08,1.01117302873965e-07,1.2922172880565e-07,4.40864825274925e-08,2.98779890141011e-08,2.98378332865183e-08,1.86737404181435e-08,2.01584614092167e-08,2.24862985696922e-08,2.63039748920301e-08
"6",7.78667365060978e-07,3.66968518451019e-07,2.45112458341684e-07,4.37972310577003e-07,4.26337238889605e-07,3.20103504572772e-07,1.03315183396967e-07,6.60390856872366e-08,6.62958488888978e-08,7.69026335817855e-08,3.5615137115838e-08,3.91878119400086e-08,4.33276992836954e-08,2.92632870614661e-08,2.64235332003674e-08,4.2428074509047e-08,3.47962158588932e-08,2.63890060071804e-08,3.09668608903507e-08,3.29666054953655e-08,2.67157002823568e-08,4.31525318329847e-08,9.45610212864699e-08,1.00573977365382e-07,1.28816676572438e-07,4.38923519682555e-08,2.93967293226867e-08,2.95426721806689e-08,1.82694802520454e-08,2.00860776882465e-08,2.19836212462141e-08,2.57810741263478e-08
"7",7.79073392441679e-07,3.71346002769716e-07,2.45445622925241e-07,4.37110513776836e-07,4.25162674276067e-07,3.20349038524009e-07,1.03283960798902e-07,6.62705704604666e-08,6.59029767187926e-08,7.6488954919904e-08,3.49814728992882e-08,3.89279399880238e-08,4.23165822528982e-08,2.86056368573284e-08,2.57048260475942e-08,4.20372225250799e-08,3.43692635503249e-08,2.56405232081723e-08,3.02906799453801e-08,3.28245348547889e-08,2.62643743359556e-08,4.25359756313614e-08,9.4223910182472e-08,1.00077586960213e-07,1.27749825383356e-07,4.37673703037046e-08,2.89721210269069e-08,2.9305519604033e-08,1.79264596045555e-08,2.00250367691358e-08,2.15203753674511e-08,2.5330408727845e-08
"8",7.74204755541395e-07,3.83208440569538e-07,2.48353475143212e-07,4.49920335783081e-07,4.32725204678263e-07,3.23309475236926e-07,1.06063205221053e-07,6.78091119944494e-08,7.28426005577119e-08,8.30195791395706e-08,4.30051784350802e-08,4.46873095269709e-08,5.51106362681701e-08,3.78084477758932e-08,3.59805289169579e-08,4.99311890136557e-08,4.19467773081993e-08,3.56652601970166e-08,3.98482083571505e-08,3.80822115193479e-08,3.34935585017763e-08,4.94626766151877e-08,1.00564574205937e-07,1.08515978259823e-07,1.36252979759904e-07,5.07360809007758e-08,3.60392450693444e-08,3.50978881108359e-08,2.37668655619085e-08,2.21196741791846e-08,2.77028489204482e-08,3.24242818480095e-08
"9",7.76440093079449e-07,3.83490818766718e-07,2.49960171125594e-07,4.45550345296754e-07,4.33997390343015e-07,3.22902592560659e-07,1.06386335588111e-07,6.87381454430668e-08,7.10429704964271e-08,8.21883109370898e-08,4.23342785982637e-08,4.35149129196101e-08,4.95710320217153e-08,3.41090129590166e-08,3.11168704203011e-08,4.73713675470202e-08,3.9381763863561e-08,3.23054967710608e-08,3.64741827964797e-08,3.69262504300175e-08,3.16381327432584e-08,4.60378356341623e-08,9.96867214989621e-08,1.0602396739066e-07,1.34788800199011e-07,4.83189330935746e-08,3.32476127991136e-08,3.2367436231474e-08,2.13497869349458e-08,2.15135510008228e-08,2.5992861634321e-08,3.00821406449562e-08
"10",7.78333768208944e-07,3.82906388228843e-07,2.51107780465672e-07,4.42676280496799e-07,4.3355143554606e-07,3.22222211715077e-07,1.06170180931506e-07,6.90436845013936e-08,7.00474064395729e-08,8.12111057888496e-08,4.10238234519601e-08,4.2944734266386e-08,4.67739742217538e-08,3.13183383883263e-08,2.80350162416544e-08,4.56496620637635e-08,3.75930895032298e-08,2.95161643814606e-08,3.40810609089249e-08,3.6335323844465e-08,3.04022474708264e-08,4.35676772581529e-08,9.87383155242716e-08,1.0465246480993e-07,1.33468550249463e-07,4.71529116475548e-08,3.19120512888586e-08,3.14195539200094e-08,2.01453886047075e-08,2.14556264383073e-08,2.48517927371873e-08,2.85719455418246e-08
"11",7.79524910033718e-07,3.82176774340418e-07,2.51764751356328e-07,4.40624020219703e-07,4.32766220630338e-07,3.22754494514733e-07,1.06070455403641e-07,6.97765760208441e-08,6.8786844003134e-08,8.02672502116965e-08,3.9489424168308e-08,4.24514959426972e-08,4.52973805531083e-08,2.94882832428209e-08,2.59616909284856e-08,4.45163449249675e-08,3.63789207440845e-08,2.74597430266727e-08,3.23218075396065e-08,3.59150620254788e-08,2.950403076533e-08,4.18868092371569e-08,9.73695466419585e-08,1.03485521842713e-07,1.32307376624618e-07,4.62436988414602e-08,3.07218892316852e-08,3.0875866336883e-08,1.9116878793337e-08,2.13640333644134e-08,2.38245655774247e-08,2.74015135312692e-08
"12",7.8033996242964e-07,3.81337625449816e-07,2.52389634111467e-07,4.39051273825575e-07,4.31836464173078e-07,3.23448093007098e-07,1.05031667035977e-07,7.03025982066641e-08,6.78775352645768e-08,7.94027031033567e-08,3.79576443558697e-08,4.19505283850864e-08,4.39608868382566e-08,2.83360091397089e-08,2.45312660648699e-08,4.37067671175421e-08,3.5424700547018e-08,2.57992634817339e-08,3.08890163475478e-08,3.55272704112757e-08,2.85836350116203e-08,4.07590972279444e-08,9.65365034976791e-08,1.02407167393218e-07,1.30655762373027e-07,4.60037323265208e-08,2.97467386024928e-08,3.05390990853228e-08,1.83695448115691e-08,2.12977842036701e-08,2.29148967853987e-08,2.64912036343347e-08
